RelativePath	ProcCount	Procs
HO/ProjectFormulation/p_SchemeDetailsV1.aspx	16	pr_p_createannex;pr_p_getdeleteschemebankbranches;pr_p_getdeleteschemecontributors;pr_p_getdeleteschemepurpose;pr_p_getloadschemecontributors;pr_p_getloadschemeorgbank;pr_p_getloadschemepurposes;pr_p_getreportoptionschemedetails;pr_p_getsqschemedetails;pr_p_getsqschemes;pr_p_getupdateschemebankbranches;pr_p_getupdateschemecontributors;pr_p_getupdateschemepurposes;pr_p_lnccgoldltvslab;pr_p_loanschemeupdate;pr_p_schemeoptions
HO/ProjectFormulation/p_SetCommitteeApprovalLimit.aspx	5	pr_p_getcommitteemembershiptid;pr_p_orgstructure;pr_p_sb_getallbranches;pr_p_sb_getbranchcomlist;pr_p_sb_getcommitteequery
HO/Retailbanking/a_SubMemberBankUser.aspx	3	pr_a_getsubmemlogininfo;pr_a_sb_getsubmembankuser;pr_g_validatedpassword
HO/Retailbanking/a_UserTranLimit.aspx	3	pr_a_getusertranlimit;pr_a_sb_usertranlimit;pr_a_usertranlimit
HO/Retailbanking/a_UserTranLimitSource.aspx	1	pr_x_usertranlimitsource
HO/Retailbanking/Aadhaar_Vault.aspx	2	pr_aadhar_voult_api;pr_g_getconsbranches
HO/Retailbanking/b_CardTypeConfig.aspx	1	pr_b_getcardtypeconfig
HO/Retailbanking/b_ChargesMaster.aspx	4	pr_b_deletechargesmaster;pr_b_savechargesmaster;pr_b_sb_chargesmasterid;pr_b_sb_getchargesmaster
HO/Retailbanking/b_FinancialYear.aspx	4	pr_b_getcompletedfinancialyear;pr_b_getenddateofyear;pr_b_getfinyrforpfsum;pr_b_newfinancialyearcreation
HO/Retailbanking/b_GlInterestMapping.aspx	4	pr_b_getglinterestmapping;pr_b_glinterestmappinglog;pr_x_gettransactiondescription;pr_x_sb_getglinterestmapping
HO/Retailbanking/b_Holiday.aspx	2	pr_b_getholidaylist;pr_b_getholidays
HO/Retailbanking/b_HolidayChannel.aspx	2	pr_b_getholidaylist;pr_b_getholidayschannel
HO/Retailbanking/b_PreDisbInfoItem.aspx	1	pr_b_predisbinfoitem
HO/Retailbanking/b_PreDisbQstFormat.aspx	2	pr_b_predisbqstformat;pr_b_sb_predisbqstformat
HO/Retailbanking/b_ReportGLMap.aspx	2	pr_b_getreportmapdata;pr_b_reportglmap
HO/Retailbanking/b_RiskCatAcTypeSlab.aspx	1	pr_x_b_riskcatactypeslab
HO/Retailbanking/b_RiskCatByThresHold.aspx	2	pr_b_riskcatbythreshold;pr_g_getconsbranches
HO/Retailbanking/b_SavingInterestChart.aspx	2	pr_b_savinginterestchart;pr_b_sb_savinginterestchart
HO/Retailbanking/c_InsCompMaster.aspx	1	pr_c_getinsucompname
HO/Retailbanking/c_LNCCAgstDepAddlIRSlab.aspx	1	pr_c_lnccagstdepaddlirslab
HO/Retailbanking/c_LNCCRebateSlab.aspx	1	pr_p_getrebatelnccschemes
HO/Retailbanking/c_LnCcSchemeAccountHeadMapping.aspx	1	pr_c_getlnccschemebyaccountheadid
HO/Retailbanking/c_LoanPreClsrIntSlab.aspx	1	pr_c_loanpreclsrintslab
