Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
HO		b_IbtLimitMapping.aspx	HO/b_IbtLimitMapping.aspx	CRUD master	Medium	5.45	Simple	173	427	30	1	5	5	1	yes			pr_b_sb_getibtmapping
HO		b_IMPSUPILimit.aspx	HO/b_IMPSUPILimit.aspx	CRUD master	Complex	15.17	Simple	255	1591	49	1	5	7	3	yes			pr_b_;pr_b_impsupilimit;pr_b_impsupilimit_search
HO		b_PigmyIntCommChart.aspx	HO/b_PigmyIntCommChart.aspx	CRUD master	Medium	6.55	Simple	176	623	25	1	4	4	1	yes			pr_b_savepigmyintcommchart
HO		b_PigmyInterestSlab.aspx	HO/b_PigmyInterestSlab.aspx	CRUD master	Medium	6.49	Simple	180	578	31	1	4	6	1	yes			pr_b_sb_pigmyinterestslab
HO		b_RiskCategory.aspx	HO/b_RiskCategory.aspx	CRUD master	Medium	5.19	Simple	90	323	26	1	4	5	2	yes			pr_b_riskcategorysave;pr_b_sb_getriskcategory
HO		BankVariableConfig.aspx	HO/BankVariableConfig.aspx	Client-rendered / Other	Medium	6.62	Medium	18	726	2	0	0	0	2	yes	yes		pr_b_loadbankvariableconfigjs;pr_b_savebankvariableconfigjs
HO		BranchVariableConfig.aspx	HO/BranchVariableConfig.aspx	Client-rendered / Other	Medium	6.46	Medium	18	702	2	0	0	0	2	yes	yes		pr_b_loadbranchvariableconfigjs;pr_b_savebranchvariableconfigjs
HO		DeductMinBalHeadMap.aspx	HO/DeductMinBalHeadMap.aspx	CRUD master	Medium	4.63	Medium	137	364	20	1	4	4	1	yes			pr_g_getdeductminbalheadmap
HO		g_BlackListedDomain.aspx	HO/g_BlackListedDomain.aspx	CRUD master	Medium	4.64	Simple	111	276	20	1	3	6	2	yes			pr_g_blacklisteddomain;pr_sb_g_getblacklisteddomain
HO		g_ClientGroup.aspx	HO/g_ClientGroup.aspx	CRUD master	Medium	11.63	Simple	196	1036	33	2	2	13	3	yes			pr_b_ornamentimage;pr_c_sb_clientgroupmastersearch;pr_x_getglobalclient
HO		g_ClientIncomeDet.aspx	HO/g_ClientIncomeDet.aspx	Transaction / Entry	Medium	5.99	Simple	119	644	15	0	3	5	1	yes	yes		pr_x_getglobalclient
HO		g_CustomerOnBoarding.aspx	HO/g_CustomerOnBoarding.aspx	Transaction / Entry	Medium	4.77	Simple	383	493	22	0	3	4	1	yes			pr_b_getdataforcontrolsaccountjs
HO		g_PigmyCommisionMapping.aspx	HO/g_PigmyCommisionMapping.aspx	Search / List / Inquiry	Medium	11.76	Simple	444	906	58	2	21	9	3				pr_g_savepigmmycommissionmapping;pr_g_savepigmycommisionmappingdetailsslab;pr_g_sb_pigmycommisionmapping
HO		GlobalClientDocAttach.aspx	HO/GlobalClientDocAttach.aspx	CRUD master	Complex	17.06	Medium	284	1737	52	2	4	12	3	yes			pr_g_sb_getclientdocmap;pr_g_sb_getunpassedattchdoc;pr_x_getglobalclient
HO		GlobalClientDocAttachPopup.aspx	HO/GlobalClientDocAttachPopup.aspx	Popup / Dialog	Simple	2.47	Medium	118	136	19	1	1	0	0				
HO		GSTTransactionDetail.aspx	HO/GSTTransactionDetail.aspx	Transaction / Entry	Simple	2.63	Medium	117	95	15	1	0	0	1				pr_x_getincomegsttransview
HO		KYCClientPopup.aspx	HO/KYCClientPopup.aspx	Popup / Dialog	Complex	31.78	Medium	1318	2019	238	8	90	1	4	yes			pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_savelocalclient
HO		KYCClientPopup_V1.aspx	HO/KYCClientPopup_V1.aspx	Popup / Dialog	Complex	49.65	Medium	1890	4699	303	7	132	2	1				pr_g_getcity
HO		KYCUpdateInfo.aspx	HO/KYCUpdateInfo.aspx	Client-rendered / Other	Simple	0.67	Medium	103	58	7	0	0	1	0	yes			
HO		MbankGlobalAccLimit.aspx	HO/MbankGlobalAccLimit.aspx	Transaction / Entry	Medium	5.41	Medium	128	445	16	0	3	2	3	yes			pr_g_getconsbranches;pr_mbank_getamttranlimit;pr_mbank_saveglobalacclimit
HO		PigmyContraMaping.aspx	HO/PigmyContraMaping.aspx	CRUD master	Medium	4.38	Medium	137	237	20	1	1	4	2	yes			pr_b_getcontraactivitymapping;pr_b_savepigmycontramapping
HO		SignaturePreview.aspx	HO/SignaturePreview.aspx	Client-rendered / Other	Simple	0.89	Medium	16	128	1	0	0	0	0				
HO		SMSAutoConfig.aspx	HO/SMSAutoConfig.aspx	CRUD master	Medium	4.07	Medium	188	292	18	1	3	2	1	yes			pr_sms_autoconfig
HO		SmsConfig.aspx	HO/SmsConfig.aspx	CRUD master	Medium	7.69	Medium	190	403	35	3	4	4	2	yes			pr_sms_getsystemvalues;pr_sms_savesystemvalues
HO		SubMemSubStatus.aspx	HO/SubMemSubStatus.aspx	CRUD master	Medium	8.87	Medium	177	473	53	3	2	3	2	yes			pr_b_loadsubmemfiles;pr_b_submemsubstatus
HO		Sys_AccessControl.aspx	HO/Sys_AccessControl.aspx	Transaction / Entry	Medium	6.98	Medium	88	897	10	0	3	3	1	yes			pr_sys_accesscontrol
HO		sys_AutoProcessConfig.aspx	HO/sys_AutoProcessConfig.aspx	Batch / Process	Simple	2.75	Medium	104	136	11	1	2	2	1	yes			pr_sys_getautoprocessinfo
HO		Sys_MetaData.aspx	HO/Sys_MetaData.aspx	CRUD master	Medium	10.25	Medium	193	1268	25	1	5	2	0	yes			
HO		TerroristGroupdetails.aspx	HO/TerroristGroupdetails.aspx	CRUD master	Simple	3.5	Medium	157	201	14	2	3	4	0	yes			
